time,timebound_lower,timebound_upper,gmst
1850.5,1850,1851,-0.060196078
1851.5,1851,1852,0.057303922
1852.5,1852,1853,0.094803922
1853.5,1853,1854,0.052303922
1854.5,1854,1855,0.062303922
1855.5,1855,1856,0.059803922
1856.5,1856,1857,-0.020196078
1857.5,1857,1858,-0.122696078
1858.5,1858,1859,-0.030196078
1859.5,1859,1860,0.072303922
1860.5,1860,1861,-0.060196078
1861.5,1861,1862,-0.107696078
1862.5,1862,1863,-0.177696078
1863.5,1863,1864,-0.020196078
1864.5,1864,1865,-0.057696078
1865.5,1865,1866,0.037303922
1866.5,1866,1867,0.042303922
1867.5,1867,1868,0.037303922
1868.5,1868,1869,0.054803922
1869.5,1869,1870,0.069803922
1870.5,1870,1871,0.017303922
1871.5,1871,1872,-0.005196078
1872.5,1872,1873,0.019803922
1873.5,1873,1874,0.014803922
1874.5,1874,1875,-0.022696078
1875.5,1875,1876,-0.010196078
1876.5,1876,1877,-0.052696078
1877.5,1877,1878,0.284803922
1878.5,1878,1879,0.339803922
1879.5,1879,1880,0.072303922
1880.5,1880,1881,0.029803922
1881.5,1881,1882,0.122303922
1882.5,1882,1883,0.049803922
1883.5,1883,1884,0.004803922
1884.5,1884,1885,-0.130196078
1885.5,1885,1886,-0.125196078
1886.5,1886,1887,-0.120196078
1887.5,1887,1888,-0.177696078
1888.5,1888,1889,0.007303922
1889.5,1889,1890,0.124803922
1890.5,1890,1891,-0.152696078
1891.5,1891,1892,-0.042696078
1892.5,1892,1893,-0.120196078
1893.5,1893,1894,-0.120196078
1894.5,1894,1895,-0.127696078
1895.5,1895,1896,-0.060196078
1896.5,1896,1897,0.077303922
1897.5,1897,1898,0.087303922
1898.5,1898,1899,-0.117696078
1899.5,1899,1900,0.019803922
1900.5,1900,1901,0.129803922
1901.5,1901,1902,0.072303922
1902.5,1902,1903,-0.067696078
1903.5,1903,1904,-0.175196078
1904.5,1904,1905,-0.237696078
1905.5,1905,1906,-0.052696078
1906.5,1906,1907,0.034803922
1907.5,1907,1908,-0.137696078
1908.5,1908,1909,-0.172696078
1909.5,1909,1910,-0.215196078
1910.5,1910,1911,-0.177696078
1911.5,1911,1912,-0.197696078
1912.5,1912,1913,-0.130196078
1913.5,1913,1914,-0.112696078
1914.5,1914,1915,0.079803922
1915.5,1915,1916,0.142303922
1916.5,1916,1917,-0.077696078
1917.5,1917,1918,-0.210196078
1918.5,1918,1919,-0.067696078
1919.5,1919,1920,0.002303922
1920.5,1920,1921,0.044803922
1921.5,1921,1922,0.079803922
1922.5,1922,1923,-0.002696078
1923.5,1923,1924,0.019803922
1924.5,1924,1925,0.022303922
1925.5,1925,1926,0.062303922
1926.5,1926,1927,0.194803922
1927.5,1927,1928,0.092303922
1928.5,1928,1929,0.104803922
1929.5,1929,1930,-0.062696078
1930.5,1930,1931,0.147303922
1931.5,1931,1932,0.212303922
1932.5,1932,1933,0.159803922
1933.5,1933,1934,-0.002696078
1934.5,1934,1935,0.144803922
1935.5,1935,1936,0.094803922
1936.5,1936,1937,0.147303922
1937.5,1937,1938,0.289803922
1938.5,1938,1939,0.289803922
1939.5,1939,1940,0.279803922
1940.5,1940,1941,0.384803922
1941.5,1941,1942,0.367303922
1942.5,1942,1943,0.329803922
1943.5,1943,1944,0.349803922
1944.5,1944,1945,0.477303922
1945.5,1945,1946,0.359803922
1946.5,1946,1947,0.204803922
1947.5,1947,1948,0.247303922
1948.5,1948,1949,0.189803922
1949.5,1949,1950,0.179803922
1950.5,1950,1951,0.102303922
1951.5,1951,1952,0.254803922
1952.5,1952,1953,0.332303922
1953.5,1953,1954,0.394803922
1954.5,1954,1955,0.197303922
1955.5,1955,1956,0.144803922
1956.5,1956,1957,0.082303922
1957.5,1957,1958,0.304803922
1958.5,1958,1959,0.319803922
1959.5,1959,1960,0.294803922
1960.5,1960,1961,0.237303922
1961.5,1961,1962,0.317303922
1962.5,1962,1963,0.272303922
1963.5,1963,1964,0.302303922
1964.5,1964,1965,0.044803922
1965.5,1965,1966,0.154803922
1966.5,1966,1967,0.207303922
1967.5,1967,1968,0.239803922
1968.5,1968,1969,0.179803922
1969.5,1969,1970,0.319803922
1970.5,1970,1971,0.277303922
1971.5,1971,1972,0.157303922
1972.5,1972,1973,0.267303922
1973.5,1973,1974,0.407303922
1974.5,1974,1975,0.182303922
1975.5,1975,1976,0.242303922
1976.5,1976,1977,0.147303922
1977.5,1977,1978,0.457303922
1978.5,1978,1979,0.352303922
1979.5,1979,1980,0.432303922
1980.5,1980,1981,0.547303922
1981.5,1981,1982,0.597303922
1982.5,1982,1983,0.389803922
1983.5,1983,1984,0.572303922
1984.5,1984,1985,0.407303922
1985.5,1985,1986,0.397303922
1986.5,1986,1987,0.452303922
1987.5,1987,1988,0.584803922
1988.5,1988,1989,0.634803922
1989.5,1989,1990,0.522303922
1990.5,1990,1991,0.699803922
1991.5,1991,1992,0.679803922
1992.5,1992,1993,0.477303922
1993.5,1993,1994,0.527303922
1994.5,1994,1995,0.582303922
1995.5,1995,1996,0.732303922
1996.5,1996,1997,0.619803922
1997.5,1997,1998,0.762303922
1998.5,1998,1999,0.912303922
1999.5,1999,2000,0.667303922
2000.5,2000,2001,0.672303922
2001.5,2001,2002,0.817303922
2002.5,2002,2003,0.889803922
2003.5,2003,2004,0.884803922
2004.5,2004,2005,0.812303922
2005.5,2005,2006,0.954803922
2006.5,2006,2007,0.909803922
2007.5,2007,2008,0.924803922
2008.5,2008,2009,0.804803922
2009.5,2009,2010,0.934803922
2010.5,2010,2011,1.007303922
2011.5,2011,2012,0.884803922
2012.5,2012,2013,0.912303922
2013.5,2013,2014,0.939803922
2014.5,2014,2015,1.009803922
2015.5,2015,2016,1.159803922
2016.5,2016,2017,1.272303922
2017.5,2017,2018,1.182303922
2018.5,2018,2019,1.109803922
2019.5,2019,2020,1.234803922
2020.5,2020,2021,1.264803922
2021.5,2021,2022,1.109803922
2022.5,2022,2023,1.149803922
2023.5,2023,2024,1.432303922
